variant id,lineage,seqs >2015,seqs. past 12-24 months,seqs. past 12 months,% 12-24 months,% 12 months,first occurrence,last detected,relative occurrence,U.S. occurrence trend,vaccine
10.1,10,0,0,0,0,0,2010,2011,,rare or extinct,
1A.1,1A,23,0,0,0,0,2015,2018,,rare or extinct,
1A.12,1A,13,0,0,0,0,2017,2018,,rare or extinct,
1A.14,1A,70,0,0,0,0,2018,2021,,rare or extinct,
1A.15,1A,15,0,0,0,0,2018,2018,,rare or extinct,
1A.16,1A,42,0,0,0,0,2018,2018,,rare or extinct,
1A.19,1A,86,0,0,0,0,2018,2021,,rare or extinct,
1A.20,1A,6,0,0,0,0,2019,2021,,rare or extinct,
1A.21,1A,8,0,0,0,0,2018,2020,,rare or extinct,
1A.22,1A,8,0,0,0,0,2020,2021,,rare or extinct,
1A.24,1A,14,0,0,0,0,2021,2021,,rare or extinct,
1A.26,1A,8,0,0,0,0,2021,2021,,rare or extinct,
1A.27,1A,27,0,0,0,0,2018,2021,,rare or extinct,
1A.3,1A,42,0,0,0,0,2017,2018,,rare or extinct,
1A.31,1A,92,0,0,0,0,2019,2022,,rare or extinct,
1A.37,1A,5,0,0,0,0,2019,2021,,rare or extinct,
1A.38,1A,35,0,0,0,0,2019,2021,,rare or extinct,
1A.4,1A,6,0,0,0,0,2018,2019,,rare or extinct,
1A.42,1A,10,0,0,0,0,2020,2021,,rare or extinct,
1A.43,1A,5,0,0,0,0,2021,2022,,rare or extinct,
1A.6,1A,14,0,0,0,0,2018,2019,,rare or extinct,
1A.8,1A,51,0,0,0,0,2017,2021,,rare or extinct,
1A.9,1A,53,0,0,0,0,2017,2021,,rare or extinct,
1B-unclassified,1B,16,0,0,0,0,2006,2018,,,
1B.1,1B,74,0,0,0,0,2013,2021,,rare or extinct,
1B.12,1A,35,0,0,0,0,2016,2021,,rare or extinct,
1B.13,1B,16,0,0,0,0,2018,2020,,rare or extinct,
1B.14,1B,10,0,0,0,0,2016,2018,,rare or extinct,
1B.15,1B,10,0,0,0,0,2018,2019,,rare or extinct,
1B.16,1B,13,0,0,0,0,2019,2021,,rare or extinct,
1B.17,1B,16,0,0,0,0,2021,2021,,rare or extinct,
1B.2,1B,20,0,0,0,0,2015,2018,,rare or extinct,
1B.3,1B,11,0,0,0,0,2012,2018,,rare or extinct,
1B.4,1B,14,0,0,0,0,2011,2017,,rare or extinct,
1B.5,1B,18,0,0,0,0,2015,2020,,rare or extinct,
1B.6,1B,58,0,0,0,0,2011,2019,,rare or extinct,
1B.7,1B,11,0,0,0,0,2015,2016,,rare or extinct,
1B.8,1B,28,0,0,0,0,2014,2017,,rare or extinct,
1B.9,1B,7,0,0,0,0,2015,2017,,rare or extinct,
1C.1,1C,323,0,0,0,0,2015,2019,,rare or extinct,
1C.10,1C,26,0,0,0,0,2015,2017,,rare or extinct,
1C.14,1C,31,0,0,0,0,2016,2019,,rare or extinct,
1C.15,1C,37,0,0,0,0,2016,2020,,rare or extinct,
1C.17,1C,6,0,0,0,0,2017,2018,,rare or extinct,
1C.18,1C,16,0,0,0,0,2018,2020,,rare or extinct,
1C.19,1C,10,0,0,0,0,2019,2021,,rare or extinct,
1C.20,1C,5,0,0,0,0,2019,2021,,rare or extinct,
1C.22,1C,9,0,0,0,0,2020,2020,,rare or extinct,
1C.29,1C,6,0,0,0,0,2021,2022,,rare or extinct,
1C.6,1C,134,0,0,0,0,2015,2020,,rare or extinct,
1C.7,1C,15,0,0,0,0,2015,2020,,rare or extinct,
1C.9,1C,95,0,0,0,0,2015,2021,,rare or extinct,
1D-unclassified,1D,2,0,0,0,0,2004,2021,,,
1D.1,1D,11,0,0,0,0,2019,2019,,rare or extinct,
1D.3,1D,5,0,0,0,0,2011,2019,,rare or extinct,
1E-unclassified,1E,8,0,0,0,0,2002,2020,,,
1E.2,1E,6,0,0,0,0,2015,2019,,rare or extinct,
1E.3,1E,68,0,0,0,0,2015,2021,,rare or extinct,
1F-unclassified,1F,0,0,0,0,0,2012,2012,,,
1H.14,1H,8,0,0,0,0,2017,2018,,rare or extinct,
1H.15,1H,39,0,0,0,0,2017,2018,,rare or extinct,
1H.16,1H,7,0,0,0,0,2017,2020,,rare or extinct,
1H.19,1H,14,0,0,0,0,2017,2020,,rare or extinct,
1H.20,1H,10,0,0,0,0,2018,2018,,rare or extinct,
1H.22,1H,10,0,0,0,0,2018,2019,,rare or extinct,
1H.24,1D,9,0,0,0,0,2019,2021,,rare or extinct,
1H.25,1H,19,0,0,0,0,2019,2021,,rare or extinct,
1H.26,1H,22,0,0,0,0,2019,2021,,rare or extinct,
1H.3,1H,33,0,0,0,0,2016,2020,,rare or extinct,
1H.4,1H,78,0,0,0,0,2018,2021,,rare or extinct,
1H.6,1H,14,0,0,0,0,2016,2019,,rare or extinct,
1H.8,1H,44,0,0,0,0,2016,2021,,rare or extinct,
1I-unclassified,1I,0,0,0,0,0,2003,2005,,,
1I.1,1I,0,0,0,0,0,2003,2010,,rare or extinct,
2-unclassified,2,1,0,0,0,0,2001,2015,,,
2.1,2,0,0,0,0,0,2002,2003,,rare or extinct,
2.2,2,0,0,0,0,0,2002,2006,,rare or extinct,
2.3,2,0,0,0,0,0,2003,2004,,rare or extinct,
2.4,2,0,0,0,0,0,2002,2006,,rare or extinct,
2.5,2,0,0,0,0,0,2009,2012,,rare or extinct,
4-unclassified,4,3,0,0,0,0,2002,2021,,,
5B-unclassified,5B,0,0,0,0,0,1999,2008,,,
6-unclassified,6,0,0,0,0,0,2000,2011,,,
6.1,6,23,0,0,0,0,2006,2019,,rare or extinct,
8B-unclassified,8B,1,0,0,0,0,2003,2015,,,
8B.1,9A,0,0,0,0,0,2006,2009,,rare or extinct,
8B.2,8B,0,0,0,0,0,2004,2005,,rare or extinct,
8B.3,8B,0,0,0,0,0,2002,2004,,rare or extinct,
8B.4,8B,0,0,0,0,0,2007,2009,,rare or extinct,
9A-unclassified,9A,1,0,0,0,0,2000,2015,,,
9A.1,9A,0,0,0,0,0,2008,2013,,rare or extinct,
9B-unclassified,9B,0,0,0,0,0,2000,2006,,,
9B.1,9B,0,0,0,0,0,2004,2007,,rare or extinct,
9B.2,9B,0,0,0,0,0,2002,2007,,rare or extinct,
9C-unclassified,9C,0,0,0,0,0,2002,2014,,,
9C.1,9C,15,0,0,0,0,2001,2017,,rare or extinct,
9D-unclassified,9D,4,0,0,0,0,2003,2017,,,
9D.1,9D,0,0,0,0,0,2003,2005,,rare or extinct,
9D.2,9D,0,0,0,0,0,2009,2010,,rare or extinct,
9D.3,undetermined,0,0,0,0,0,2001,2003,,rare or extinct,
9D.4,9D,0,0,0,0,0,2009,2009,,rare or extinct,
9E-unclassified,9E,0,0,0,0,0,1997,2010,,,
9E.1,9E,0,0,0,0,0,1998,1998,,rare or extinct,
9E.2,9E,0,0,0,0,0,2008,2013,,rare or extinct,
9E.3,9E,0,0,0,0,0,2007,2013,,rare or extinct,